timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_train_after_purification;n_contaminated;n_patches_removed;n_test;n_normal_test;n_anomaly_test;seed;knn_k;percentile_threshold;img_auroc;img_aupr;img_f1max;tpr_fpr1;tpr_fpr5;auroc_delta_vs_clean;recovery_rate;contaminant_detection_auroc;contaminant_precision_at_1;contaminant_precision_at_k;contaminant_recall_at_k;adaptive_did_purify;adaptive_skewness;inference_time_s
2026-02-17T14:01:20.659905;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;90;0.9794;0.9937;0.9612;0.8571;0.9048;;;;;;;;;2.62
2026-02-17T14:01:24.907858;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;10;0;784;83;20;63;0;5;90;0.9833;0.9948;0.9688;0.8730;0.8889;0.0040;;;;;;;;4.24
2026-02-17T14:01:27.522087;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;90;0.9333;0.9824;0.9440;0.8413;0.8730;-0.0460;;;;;;;;2.60
2026-02-17T14:01:31.830189;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;10;3;784;83;20;63;0;5;90;0.9865;0.9957;0.9764;0.8889;0.8889;0.0071;1.1552;1.0000;1;1.0000;1.0000;;;4.30
2026-02-17T14:01:34.474117;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;95;0.9794;0.9937;0.9612;0.8571;0.9048;;;;;;;;;2.58
2026-02-17T14:01:39.073244;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;10;0;392;83;20;63;0;5;95;0.9849;0.9954;0.9764;0.8889;0.9048;0.0056;;;;;;;;4.60
2026-02-17T14:01:41.731019;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;95;0.9333;0.9824;0.9440;0.8413;0.8730;-0.0460;;;;;;;;2.64
2026-02-17T14:01:46.369885;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;10;3;392;83;20;63;0;5;95;0.9714;0.9915;0.9606;0.8730;0.8889;-0.0079;0.8276;1.0000;1;1.0000;1.0000;;;4.63
2026-02-17T14:01:49.051735;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;99;0.9794;0.9937;0.9612;0.8571;0.9048;;;;;;;;;2.61
2026-02-17T14:01:53.917601;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;10;0;79;83;20;63;0;5;99;0.9786;0.9934;0.9612;0.8571;0.8889;-0.0008;;;;;;;;4.80
2026-02-17T14:01:56.595921;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;99;0.9333;0.9824;0.9440;0.8413;0.8730;-0.0460;;;;;;;;2.67
2026-02-17T14:02:01.471288;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;10;3;79;83;20;63;0;5;99;0.9389;0.9836;0.9440;0.8413;0.8730;-0.0405;0.1207;1.0000;1;1.0000;1.0000;;;4.87
2026-02-17T14:02:06.792873;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;10;0;0;150;58;92;0;5;90;0.9310;0.9613;0.8788;0.6957;0.7609;;;;;;;;;4.72
2026-02-17T14:02:13.065412;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;10;0;784;150;58;92;0;5;90;0.9243;0.9572;0.8814;0.6196;0.7391;-0.0067;;;;;;;;6.27
2026-02-17T14:02:17.793887;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;10;3;0;150;58;92;0;5;90;0.8831;0.9380;0.8571;0.5978;0.6739;-0.0480;;;;;;;;4.71
2026-02-17T14:02:24.094874;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;10;3;784;150;58;92;0;5;90;0.8997;0.9441;0.8636;0.5870;0.6957;-0.0313;0.3477;0.9524;1;0.6667;0.6667;;;6.30
2026-02-17T14:02:29.011817;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;10;0;0;150;58;92;0;5;95;0.9310;0.9613;0.8788;0.6957;0.7609;;;;;;;;;4.82
2026-02-17T14:02:35.946827;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;10;0;392;150;58;92;0;5;95;0.9237;0.9578;0.8800;0.6522;0.7500;-0.0073;;;;;;;;6.93
