timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_train_after_purification;n_contaminated;n_patches_removed;n_test;n_normal_test;n_anomaly_test;seed;knn_k;percentile_threshold;img_auroc;img_aupr;img_f1max;tpr_fpr1;tpr_fpr5;auroc_delta_vs_clean;recovery_rate;inference_time_s
2026-02-14T11:57:03.230146;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;3;95;0.9810;0.9942;0.9683;0.8571;0.8889;;;5.99
2026-02-14T11:57:08.783067;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;83;20;63;0;3;95;0.9778;0.9934;0.9612;0.8889;0.9048;-0.0032;;5.45
2026-02-14T11:57:13.399522;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;3;95;0.9310;0.9817;0.9440;0.8254;0.8730;-0.0500;;4.51
2026-02-14T11:57:18.612279;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;392;83;20;63;0;3;95;0.9754;0.9927;0.9688;0.8571;0.8730;-0.0056;0.8889;5.10
2026-02-14T11:57:23.296532;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;95;0.9794;0.9937;0.9612;0.8571;0.9048;;;4.50
2026-02-14T11:57:28.549725;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;83;20;63;0;5;95;0.9810;0.9942;0.9612;0.8730;0.9048;0.0016;;5.17
2026-02-14T11:57:32.909127;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;95;0.9333;0.9824;0.9440;0.8413;0.8571;-0.0460;;4.25
2026-02-14T11:57:37.899549;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;392;83;20;63;0;5;95;0.9770;0.9930;0.9688;0.8730;0.8889;-0.0024;0.9483;4.91
2026-02-14T11:57:46.076225;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;10;0;0;150;58;92;0;3;95;0.9346;0.9629;0.8776;0.7065;0.7717;;;7.48
2026-02-14T11:57:54.560544;mvtec_AD/cable;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;150;58;92;0;3;95;0.9211;0.9554;0.8827;0.6413;0.7174;-0.0135;;8.32
2026-02-14T11:58:02.409861;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;10;3;0;150;58;92;0;3;95;0.8855;0.9397;0.8495;0.6087;0.7174;-0.0491;;7.69
