timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_train_after_purification;n_contaminated;n_patches_removed;n_test;n_normal_test;n_anomaly_test;seed;knn_k;percentile_threshold;img_auroc;img_aupr;img_f1max;tpr_fpr1;tpr_fpr5;auroc_delta_vs_clean;recovery_rate;inference_time_s
2026-02-14T11:55:11.166570;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;90;0.9794;0.9937;0.9612;0.8571;0.9048;;;5.45
2026-02-14T11:55:15.921914;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;784;83;20;63;0;5;90;0.9794;0.9939;0.9683;0.8889;0.8889;-0.0000;;4.66
2026-02-14T11:55:20.059134;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;90;0.9333;0.9824;0.9440;0.8413;0.8571;-0.0460;;4.02
2026-02-14T11:55:24.972741;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;784;83;20;63;0;5;90;0.9833;0.9948;0.9683;0.8889;0.8889;0.0040;1.0862;4.81
2026-02-14T11:55:29.325525;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;95;0.9794;0.9937;0.9612;0.8571;0.9048;;;4.20
2026-02-14T11:55:34.381901;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;83;20;63;0;5;95;0.9810;0.9942;0.9612;0.8730;0.9048;0.0016;;4.97
2026-02-14T11:55:38.677667;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;95;0.9333;0.9824;0.9440;0.8413;0.8571;-0.0460;;4.18
2026-02-14T11:55:43.717985;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;392;83;20;63;0;5;95;0.9770;0.9930;0.9688;0.8730;0.8889;-0.0024;0.9483;4.95
2026-02-14T11:55:51.800304;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;10;0;0;150;58;92;0;5;90;0.9312;0.9615;0.8788;0.6957;0.7609;;;7.41
2026-02-14T11:55:59.949222;mvtec_AD/cable;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;784;150;58;92;0;5;90;0.9136;0.9513;0.8705;0.5761;0.7500;-0.0176;;8.01
2026-02-14T11:56:07.415360;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;10;3;0;150;58;92;0;5;90;0.8825;0.9377;0.8571;0.5978;0.6739;-0.0487;;7.32
2026-02-14T11:56:15.241027;mvtec_AD/cable;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;784;150;58;92;0;5;90;0.9039;0.9451;0.8652;0.5543;0.6739;-0.0274;0.4385;7.67
2026-02-14T11:56:22.957761;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;10;0;0;150;58;92;0;5;95;0.9312;0.9615;0.8788;0.6957;0.7609;;;7.48
2026-02-14T11:56:31.144265;mvtec_AD/cable;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;150;58;92;0;5;95;0.9211;0.9562;0.8710;0.6413;0.7609;-0.0101;;8.03
2026-02-14T11:56:38.667885;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;10;3;0;150;58;92;0;5;95;0.8825;0.9377;0.8571;0.5978;0.6739;-0.0487;;7.35
2026-02-14T11:56:47.242703;mvtec_AD/cable;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;392;150;58;92;0;5;95;0.9097;0.9504;0.8715;0.5978;0.7391;-0.0216;0.5577;8.38
2026-02-14T12:27:22.051350;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;80;0.9794;0.9937;0.9612;0.8571;0.9048;;;6.01
2026-02-14T12:27:26.575363;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;1568;83;20;63;0;5;80;0.9889;0.9963;0.9841;0.8889;0.9841;0.0095;;4.52
2026-02-14T12:27:30.843765;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;80;0.9333;0.9824;0.9440;0.8413;0.8571;-0.0460;;4.26
2026-02-14T12:27:35.296857;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;1568;83;20;63;0;5;80;0.9905;0.9968;0.9844;0.8571;0.9524;0.0111;1.2414;4.45
2026-02-14T12:27:39.530271;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;98;0.9794;0.9937;0.9612;0.8571;0.9048;;;4.02
2026-02-14T12:27:44.745762;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;157;83;20;63;0;5;98;0.9802;0.9939;0.9612;0.8571;0.9048;0.0008;;5.21
2026-02-14T12:27:48.947671;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;98;0.9333;0.9824;0.9440;0.8413;0.8571;-0.0460;;4.19
2026-02-14T12:27:54.062263;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;157;83;20;63;0;5;98;0.9651;0.9904;0.9606;0.8730;0.8889;-0.0143;0.6897;5.11
2026-02-14T12:27:58.337938;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;99;0.9794;0.9937;0.9612;0.8571;0.9048;;;4.20
2026-02-14T12:28:03.398937;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;79;83;20;63;0;5;99;0.9786;0.9934;0.9612;0.8571;0.8889;-0.0008;;5.06
2026-02-14T12:28:07.514612;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;0;5;99;0.9333;0.9824;0.9440;0.8413;0.8571;-0.0460;;4.10
2026-02-14T12:28:12.476948;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;79;83;20;63;0;5;99;0.9413;0.9840;0.9440;0.8413;0.8571;-0.0381;0.1724;4.96
2026-02-14T12:28:16.567707;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;1;5;80;0.9825;0.9946;0.9612;0.8730;0.9206;;;4.02
2026-02-14T12:28:20.798739;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;1568;83;20;63;1;5;80;0.9913;0.9972;0.9767;0.8889;0.9524;0.0087;;4.23
2026-02-14T12:28:24.843125;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;1;5;80;0.9333;0.9820;0.9449;0.8095;0.8413;-0.0492;;4.03
2026-02-14T12:28:29.111865;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;1568;83;20;63;1;5;80;0.9881;0.9961;0.9844;0.8413;0.9206;0.0056;1.1129;4.27
2026-02-14T12:28:33.164455;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;1;5;90;0.9825;0.9946;0.9612;0.8730;0.9206;;;3.98
2026-02-14T12:28:37.793639;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;784;83;20;63;1;5;90;0.9889;0.9964;0.9844;0.8889;0.8889;0.0063;;4.63
2026-02-14T12:28:41.802680;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;1;5;90;0.9333;0.9820;0.9449;0.8095;0.8413;-0.0492;;4.00
2026-02-14T12:28:46.402967;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;784;83;20;63;1;5;90;0.9889;0.9964;0.9767;0.9048;0.9048;0.0063;1.1290;4.60
2026-02-14T12:28:50.480916;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;1;5;95;0.9825;0.9946;0.9612;0.8730;0.9206;;;4.00
2026-02-14T12:28:55.293640;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;83;20;63;1;5;95;0.9873;0.9960;0.9764;0.8889;0.8889;0.0048;;4.81
2026-02-14T12:28:59.295193;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;1;5;95;0.9333;0.9820;0.9449;0.8095;0.8413;-0.0492;;3.99
2026-02-14T12:29:04.112790;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;392;83;20;63;1;5;95;0.9825;0.9945;0.9692;0.8730;0.8730;0.0000;1.0000;4.81
2026-02-14T12:29:08.176102;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;1;5;98;0.9825;0.9946;0.9612;0.8730;0.9206;;;3.99
2026-02-14T12:29:13.047598;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;157;83;20;63;1;5;98;0.9825;0.9946;0.9612;0.8889;0.8889;0.0000;;4.87
2026-02-14T12:29:17.017627;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;1;5;98;0.9333;0.9820;0.9449;0.8095;0.8413;-0.0492;;3.96
2026-02-14T12:29:21.859713;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;157;83;20;63;1;5;98;0.9571;0.9877;0.9531;0.8254;0.8571;-0.0254;0.4839;4.84
2026-02-14T12:29:25.884801;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;1;5;99;0.9825;0.9946;0.9612;0.8730;0.9206;;;3.93
2026-02-14T12:29:30.739080;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;79;83;20;63;1;5;99;0.9825;0.9946;0.9612;0.8730;0.9048;0.0000;;4.85
2026-02-14T12:29:34.730115;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;1;5;99;0.9333;0.9820;0.9449;0.8095;0.8413;-0.0492;;3.98
2026-02-14T12:29:39.568491;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;79;83;20;63;1;5;99;0.9492;0.9861;0.9531;0.8254;0.8571;-0.0333;0.3226;4.84
2026-02-14T12:29:43.484233;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;2;5;80;0.9849;0.9953;0.9764;0.8889;0.9048;;;3.85
2026-02-14T12:29:47.655211;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;1568;83;20;63;2;5;80;0.9905;0.9969;0.9844;0.8730;0.9365;0.0056;;4.17
2026-02-14T12:29:51.595935;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;2;5;80;0.9421;0.9849;0.9600;0.8254;0.8730;-0.0429;;3.93
2026-02-14T12:29:55.764087;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;1568;83;20;63;2;5;80;0.9802;0.9938;0.9612;0.8889;0.8889;-0.0048;0.8889;4.17
2026-02-14T12:29:59.805929;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;2;5;90;0.9849;0.9953;0.9764;0.8889;0.9048;;;3.97
2026-02-14T12:30:04.325291;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;784;83;20;63;2;5;90;0.9865;0.9957;0.9692;0.8889;0.8889;0.0016;;4.52
2026-02-14T12:30:08.258212;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;2;5;90;0.9421;0.9849;0.9600;0.8254;0.8730;-0.0429;;3.92
2026-02-14T12:30:12.810409;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;784;83;20;63;2;5;90;0.9762;0.9934;0.9764;0.8889;0.8889;-0.0087;0.7963;4.55
2026-02-14T12:30:16.807715;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;2;5;95;0.9849;0.9953;0.9764;0.8889;0.9048;;;3.93
2026-02-14T12:30:21.420701;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;392;83;20;63;2;5;95;0.9849;0.9954;0.9764;0.8889;0.9048;0.0000;;4.61
2026-02-14T12:30:25.305122;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;2;5;95;0.9421;0.9849;0.9600;0.8254;0.8730;-0.0429;;3.87
2026-02-14T12:30:29.951733;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;392;83;20;63;2;5;95;0.9738;0.9928;0.9764;0.8571;0.9048;-0.0111;0.7407;4.64
2026-02-14T12:30:33.963013;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;2;5;98;0.9849;0.9953;0.9764;0.8889;0.9048;;;3.94
2026-02-14T12:30:38.731702;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;157;83;20;63;2;5;98;0.9857;0.9956;0.9764;0.8889;0.9048;0.0008;;4.77
2026-02-14T12:30:42.576686;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;10;3;0;83;20;63;2;5;98;0.9421;0.9849;0.9600;0.8254;0.8730;-0.0429;;3.83
2026-02-14T12:30:47.345638;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;10;10;10;3;157;83;20;63;2;5;98;0.9738;0.9928;0.9764;0.8571;0.9048;-0.0111;0.7407;4.77
2026-02-14T12:30:51.281996;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;2;5;99;0.9849;0.9953;0.9764;0.8889;0.9048;;;3.86
2026-02-14T12:30:56.266823;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;79;83;20;63;2;5;99;0.9857;0.9956;0.9764;0.8889;0.9048;0.0008;;4.98
