timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_contaminated;n_patches_removed;n_test;seed;knn_k;percentile_threshold;img_auroc;pix_auroc;pix_aupr;n_masks_found;auroc_delta_vs_clean;recovery_rate;pix_auroc_delta_vs_clean;pix_recovery_rate;inference_time_s
2026-02-17T14:03:24.542119;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;0;0;83;0;5;95;0.9794;0.9843;0.8287;63;;;;;2.67
2026-02-17T14:03:37.256101;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;0;5;95;0.9849;0.9822;0.8096;63;0.0056;;-0.0021;;5.10
2026-02-17T14:03:44.753133;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;0;5;95;0.9794;0.9843;0.8287;63;0.0000;;0.0000;;0.01
2026-02-17T14:03:54.912518;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;0;5;95;0.9333;0.9684;0.7742;63;-0.0460;;-0.0160;;2.60
2026-02-17T14:04:07.065722;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;0;5;95;0.9714;0.9772;0.8048;63;-0.0079;0.8276;-0.0071;0.5547;4.61
2026-02-17T14:04:16.306322;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;0;5;95;0.9786;0.9835;0.8259;63;-0.0008;0.9828;-0.0008;0.9503;1.92
2026-02-17T14:04:36.217117;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;0;5;95;0.9310;0.9689;0.6788;92;;;;;4.60
2026-02-17T14:04:56.873092;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;0;5;95;0.9237;0.9675;0.6666;92;-0.0073;;-0.0013;;6.70
2026-02-17T14:05:10.805626;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;0;5;95;0.9310;0.9689;0.6788;92;0.0000;;0.0000;;0.01
2026-02-17T14:05:28.972446;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;0;5;95;0.8831;0.8810;0.4126;92;-0.0480;;-0.0879;;4.51
2026-02-17T14:05:49.462471;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;0;5;95;0.9125;0.9198;0.5041;92;-0.0186;0.6133;-0.0491;0.4417;6.33
2026-02-17T14:06:06.564096;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;0;5;95;0.9265;0.9682;0.6688;92;-0.0045;0.9062;-0.0006;0.9928;3.20
2026-02-18T04:42:30.801627;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;0;0;83;1;5;95;0.9825;0.9848;0.8282;63;;;;;2.51
2026-02-18T04:42:41.702968;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;1;5;95;0.9873;0.9827;0.8082;63;0.0048;;-0.0021;;4.34
2026-02-18T04:42:48.305725;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;1;5;95;0.9825;0.9848;0.8282;63;0.0000;;0.0000;;0.01
2026-02-18T04:42:57.315864;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;1;5;95;0.9333;0.9712;0.7622;63;-0.0492;;-0.0136;;2.43
2026-02-18T04:43:08.086318;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;1;5;95;0.9833;0.9795;0.8047;63;0.0008;1.0161;-0.0052;0.6142;4.26
2026-02-18T04:43:16.391119;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;1;5;95;0.9841;0.9834;0.8219;63;0.0016;1.0323;-0.0014;0.8974;1.79
2026-02-18T04:43:25.338522;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;0;0;83;2;5;95;0.9849;0.9837;0.8230;63;;;;;2.43
2026-02-18T04:43:36.299917;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;2;5;95;0.9873;0.9819;0.8086;63;0.0024;;-0.0018;;4.42
2026-02-18T04:43:42.766805;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;2;5;95;0.9849;0.9837;0.8230;63;0.0000;;0.0000;;0.01
2026-02-18T04:43:51.661429;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;2;5;95;0.9429;0.9714;0.7496;63;-0.0421;;-0.0123;;2.43
2026-02-18T04:44:02.190713;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;2;5;95;0.9754;0.9816;0.8092;63;-0.0095;0.7736;-0.0021;0.8281;4.18
2026-02-18T04:44:10.417307;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;2;5;95;0.9833;0.9829;0.8203;63;-0.0016;0.9623;-0.0008;0.9339;1.68
2026-02-18T04:44:19.575416;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;0;0;83;3;5;95;0.9746;0.9838;0.8284;63;;;;;2.42
2026-02-18T04:44:30.086235;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;3;5;95;0.9786;0.9819;0.8088;63;0.0040;;-0.0020;;4.08
2026-02-18T04:44:36.529795;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;3;5;95;0.9746;0.9838;0.8284;63;0.0000;;0.0000;;0.01
2026-02-18T04:44:45.476331;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;3;5;95;0.9302;0.9690;0.7472;63;-0.0444;;-0.0148;;2.38
2026-02-18T04:44:56.258207;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;3;5;95;0.9786;0.9790;0.7901;63;0.0040;1.0893;-0.0048;0.6733;4.40
2026-02-18T04:45:04.333462;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;3;5;95;0.9802;0.9830;0.8267;63;0.0056;1.1250;-0.0008;0.9430;1.67
2026-02-18T04:45:13.304512;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;0;0;83;4;5;95;0.9881;0.9840;0.8246;63;;;;;2.38
2026-02-18T04:45:24.009063;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;83;4;5;95;0.9841;0.9822;0.8092;63;-0.0040;;-0.0018;;4.30
2026-02-18T04:45:30.425578;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;83;4;5;95;0.9881;0.9840;0.8246;63;0.0000;;0.0000;;0.01
2026-02-18T04:45:39.227996;mvtec_AD/bottle;cont_30pct_none;0.3;none;10;10;3;0;83;4;5;95;0.9413;0.9731;0.7946;63;-0.0468;;-0.0109;;2.34
2026-02-18T04:45:50.605132;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;83;4;5;95;0.9873;0.9802;0.8080;63;-0.0008;0.9831;-0.0038;0.6515;4.65
2026-02-18T04:45:58.789732;mvtec_AD/bottle;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;83;4;5;95;0.9889;0.9832;0.8224;63;0.0008;1.0169;-0.0008;0.9245;1.72
2026-02-18T04:46:16.225764;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;1;5;95;0.9462;0.9685;0.6726;92;;;;;4.27
2026-02-18T04:46:33.827560;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;1;5;95;0.9395;0.9675;0.6594;92;-0.0067;;-0.0010;;5.91
2026-02-18T04:46:45.479088;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;1;5;95;0.9462;0.9685;0.6726;92;0.0000;;0.0000;;0.01
2026-02-18T04:47:01.643499;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;1;5;95;0.8928;0.8962;0.4377;92;-0.0534;;-0.0723;;4.33
2026-02-18T04:47:19.160700;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;1;5;95;0.9219;0.9114;0.4691;92;-0.0244;0.5439;-0.0572;0.2092;5.84
2026-02-18T04:47:34.022091;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;1;5;95;0.9234;0.9661;0.6700;92;-0.0229;0.5719;-0.0024;0.9667;3.03
2026-02-18T04:47:50.062127;mvtec_AD/cable;cont_0pct_none;0.0;none;10;10;0;0;150;2;5;95;0.8714;0.9654;0.6670;92;;;;;4.33
2026-02-18T04:48:08.020269;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;0;392;150;2;5;95;0.8619;0.9640;0.6515;92;-0.0096;;-0.0014;;6.12
2026-02-18T04:48:19.704850;mvtec_AD/cable;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;0;0;150;2;5;95;0.8714;0.9654;0.6670;92;0.0000;;0.0000;;0.01
2026-02-18T04:48:35.747463;mvtec_AD/cable;cont_30pct_none;0.3;none;10;10;3;0;150;2;5;95;0.8988;0.8833;0.4273;92;0.0274;;-0.0820;;4.28
2026-02-18T04:48:53.564481;mvtec_AD/cable;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;10;10;3;392;150;2;5;95;0.9185;0.9093;0.4877;92;0.0470;-0.7192;-0.0561;0.3163;5.84
2026-02-18T04:49:08.616743;mvtec_AD/cable;cont_30pct_oracle_patch;0.3;oracle_patch;10;10;3;2352;150;2;5;95;0.8876;0.9643;0.6661;92;0.0161;0.4110;-0.0011;0.9870;3.08
