timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_train_after_purification;n_contaminated;n_patches_removed;n_test;n_normal_test;n_anomaly_test;seed;knn_k;percentile_threshold;img_auroc;img_aupr;img_f1max;tpr_fpr1;tpr_fpr5;auroc_delta_vs_clean;recovery_rate;contaminant_detection_auroc;contaminant_precision_at_1;contaminant_precision_at_k;contaminant_recall_at_k;adaptive_did_purify;adaptive_skewness;inference_time_s
2026-02-17T13:56:13.929800;mvtec_AD/bottle;cont_0pct_none;0.0;none;5;5;5;0;0;83;20;63;0;5;95;0.9730;0.9916;0.9612;0.8571;0.8730;;;;;;;;;1.09
2026-02-17T13:56:15.123300;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;5;5;5;0;196;83;20;63;0;5;95;0.9786;0.9934;0.9688;0.8571;0.8730;0.0056;;;;;;;;1.19
2026-02-17T13:56:17.248051;mvtec_AD/bottle;cont_0pct_mahalanobis_patch;0.0;mahalanobis_patch;5;5;5;0;196;83;20;63;0;5;95;0.9786;0.9935;0.9688;0.8730;0.8730;0.0056;;;;;;;;2.12
2026-02-17T13:56:20.112058;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;5;5;5;0;196;83;20;63;0;5;95;0.9802;0.9939;0.9612;0.8730;0.8889;0.0071;;;;;;;;2.86
2026-02-17T13:56:26.260209;mvtec_AD/bottle;cont_30pct_none;0.3;none;5;5;5;2;0;83;20;63;0;5;95;0.9349;0.9813;0.9313;0.7460;0.8095;-0.0381;;;;;;;;6.14
2026-02-17T13:56:32.236829;mvtec_AD/bottle;cont_30pct_loo_patch;0.3;loo_patch;5;5;5;2;196;83;20;63;0;5;95;0.9683;0.9900;0.9516;0.7778;0.8571;-0.0048;0.8750;1.0000;1;1.0000;1.0000;;;5.97
2026-02-17T13:56:51.048612;mvtec_AD/bottle;cont_30pct_mahalanobis_patch;0.3;mahalanobis_patch;5;5;5;2;196;83;20;63;0;5;95;0.9627;0.9879;0.9516;0.7143;0.8413;-0.0103;0.7292;1.0000;1;1.0000;1.0000;;;18.80
2026-02-17T13:57:09.658573;mvtec_AD/bottle;cont_30pct_ensemble_loo_mahal;0.3;ensemble_loo_mahal;5;5;5;2;196;83;20;63;0;5;95;0.9698;0.9903;0.9538;0.7778;0.8571;-0.0032;0.9167;1.0000;1;1.0000;1.0000;;;18.60
2026-02-17T13:57:20.340488;mvtec_AD/cable;cont_0pct_none;0.0;none;5;5;5;0;0;150;58;92;0;5;95;0.8141;0.8875;0.8235;0.4457;0.4674;;;;;;;;;10.11
2026-02-17T13:57:30.753333;mvtec_AD/cable;cont_0pct_loo_patch;0.0;loo_patch;5;5;5;0;196;150;58;92;0;5;95;0.8251;0.8947;0.8241;0.4565;0.4783;0.0111;;;;;;;;10.41
2026-02-17T13:57:52.821959;mvtec_AD/cable;cont_0pct_mahalanobis_patch;0.0;mahalanobis_patch;5;5;5;0;196;150;58;92;0;5;95;0.8216;0.8912;0.8198;0.4457;0.4783;0.0075;;;;;;;;22.06
2026-02-17T13:58:16.243389;mvtec_AD/cable;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;5;5;5;0;196;150;58;92;0;5;95;0.8207;0.8907;0.8241;0.4457;0.4674;0.0066;;;;;;;;23.42
