timestamp;dataset;config;contamination_rate;purification_method;train_limit;n_train_original;n_train_after_purification;n_contaminated;n_patches_removed;n_test;n_normal_test;n_anomaly_test;seed;knn_k;percentile_threshold;img_auroc;img_aupr;img_f1max;tpr_fpr1;tpr_fpr5;auroc_delta_vs_clean;recovery_rate;contaminant_detection_auroc;contaminant_precision_at_1;contaminant_precision_at_k;contaminant_recall_at_k;adaptive_did_purify;adaptive_skewness;inference_time_s
2026-02-18T06:43:42.470958;mvtec_AD/bottle;cont_0pct_none;0.0;none;10;10;10;0;0;83;20;63;0;5;95;0.9968;0.9990;0.9844;0.9524;0.9683;;;;;;;;;0.31
2026-02-18T06:43:42.942179;mvtec_AD/bottle;cont_0pct_loo_patch;0.0;loo_patch;10;10;10;0;128;83;20;63;0;5;95;0.9968;0.9990;0.9844;0.9683;0.9683;0.0000;;;;;;;;0.47
2026-02-18T06:43:43.266479;mvtec_AD/bottle;cont_0pct_random_patch;0.0;random_patch;10;10;10;0;128;83;20;63;0;5;95;0.9960;0.9988;0.9841;0.9524;0.9683;-0.0008;;;;;;;;0.32
2026-02-18T06:43:44.858619;mvtec_AD/bottle;cont_0pct_mahalanobis_patch;0.0;mahalanobis_patch;10;10;10;0;128;83;20;63;0;5;95;0.9952;0.9985;0.9844;0.9365;0.9841;-0.0016;;;;;;;;1.59
2026-02-18T06:43:44.868620;mvtec_AD/bottle;cont_0pct_oracle_patch;0.0;oracle_patch;10;10;10;0;0;83;20;63;0;5;95;0.9968;0.9990;0.9844;0.9524;0.9683;0.0000;;;;;;;;0.01
2026-02-18T06:43:46.418286;mvtec_AD/bottle;cont_0pct_ensemble_loo_mahal;0.0;ensemble_loo_mahal;10;10;10;0;128;83;20;63;0;5;95;0.9952;0.9985;0.9844;0.9524;0.9683;-0.0016;;;;;;;;1.55
2026-02-18T06:43:46.931707;mvtec_AD/bottle;cont_0pct_cosine_loo;0.0;cosine_loo;10;10;10;0;128;83;20;63;0;5;95;0.9976;0.9992;0.9921;0.9524;1.0000;0.0008;;;;;;;;0.51
2026-02-18T06:43:47.254755;mvtec_AD/bottle;cont_10pct_none;0.1;none;10;10;10;1;0;83;20;63;0;5;95;0.9802;0.9949;0.9760;0.9365;0.9683;-0.0167;;;;;;;;0.32
2026-02-18T06:43:47.759832;mvtec_AD/bottle;cont_10pct_loo_patch;0.1;loo_patch;10;10;10;1;128;83;20;63;0;5;95;0.9960;0.9988;0.9844;0.9524;0.9683;-0.0008;0.9524;1.0000;1;1.0000;1.0000;;;0.46
2026-02-18T06:43:48.075993;mvtec_AD/bottle;cont_10pct_random_patch;0.1;random_patch;10;10;10;1;128;83;20;63;0;5;95;0.9810;0.9952;0.9764;0.9365;0.9683;-0.0159;0.0476;1.0000;1;1.0000;1.0000;;;0.31
2026-02-18T06:43:49.550419;mvtec_AD/bottle;cont_10pct_mahalanobis_patch;0.1;mahalanobis_patch;10;10;10;1;128;83;20;63;0;5;95;0.9968;0.9990;0.9921;0.9365;0.9841;0.0000;1.0000;1.0000;1;1.0000;1.0000;;;1.47
2026-02-18T06:43:49.871400;mvtec_AD/bottle;cont_10pct_oracle_patch;0.1;oracle_patch;10;10;9;1;256;83;20;63;0;5;95;0.9960;0.9988;0.9844;0.9524;0.9683;-0.0008;0.9524;1.0000;1;1.0000;1.0000;;;0.32
2026-02-18T06:43:51.333590;mvtec_AD/bottle;cont_10pct_ensemble_loo_mahal;0.1;ensemble_loo_mahal;10;10;10;1;128;83;20;63;0;5;95;0.9944;0.9983;0.9767;0.9524;0.9524;-0.0024;0.8571;1.0000;1;1.0000;1.0000;;;1.46
