timestamp;dataset;setup;detector;auditor;method;contamination_rate;seed;train_limit;n_train;n_contaminated;n_removed;n_cont_removed;top1_cont;top2_cont;top3_cont;img_auroc;img_aupr;tpr_fpr1;tpr_fpr5;elapsed_s
2026-07-21T22:40:36;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_remove;0.0;0;10;10;0;0;0;0;0;0;0.971875;0.984851;0.875;0.90625;5.16
2026-07-21T22:40:43;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_recapture;0.0;0;10;10;0;0;0;0;0;0;0.971875;0.984851;0.875;0.90625;7.04
2026-07-21T22:40:54;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_remove;0.3;0;10;10;3;2;2;1;2;3;0.96875;0.984737;0.875;0.90625;3.15
2026-07-21T22:40:58;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_recapture;0.3;0;10;10;3;2;2;1;2;3;0.976562;0.987542;0.90625;0.90625;3.56
2026-07-21T22:41:00;mvtec_AD/bottle;B;dino;;oracle_remove;0.3;0;10;10;3;3;3;;;;0.970313;0.98522;0.875;0.90625;2.55
2026-07-21T22:41:03;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;base_knn;0.3;0;10;10;3;4;3;;;;0.960938;0.980521;0.84375;0.875;2.24
2026-07-21T22:41:05;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;base_lof;0.3;0;10;10;3;3;3;;;;0.970313;0.98522;0.875;0.90625;2.57
2026-07-21T22:41:08;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;base_iforest;0.3;0;10;10;3;3;3;;;;0.970313;0.98522;0.875;0.90625;2.91
2026-07-21T22:41:11;mvtec_AD/bottle;B;clip;dino_imgmax_mad1.5;audit_remove;0.3;0;10;10;3;2;2;;;;0.99375;0.996345;0.96875;0.96875;0.34
2026-07-21T22:41:11;mvtec_AD/bottle;B;clip;;oracle_remove;0.3;0;10;10;3;3;3;;;;0.995313;0.997185;0.96875;0.96875;0.32
2026-07-21T22:41:18;mvtec_AD/bottle;B;dinov2;dino_imgmax_mad1.5;audit_remove;0.3;0;10;10;3;2;2;;;;0.98125;0.991477;0.96875;0.96875;4.87
2026-07-21T22:41:23;mvtec_AD/bottle;B;dinov2;;oracle_remove;0.3;0;10;10;3;3;3;;;;0.982812;0.992006;0.96875;0.96875;4.26
2026-07-21T22:43:17;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_remove;0.0;1;10;10;0;2;0;0;0;0;0.979687;0.988236;0.84375;0.90625;2.77
2026-07-21T22:43:20;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_recapture;0.0;1;10;10;0;2;0;0;0;0;0.982812;0.989811;0.84375;0.90625;3.44
2026-07-21T22:43:25;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_remove;0.3;1;10;10;3;0;0;1;2;3;0.98125;0.988724;0.875;0.875;3.64
2026-07-21T22:43:28;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;audit_recapture;0.3;1;10;10;3;0;0;1;2;3;0.98125;0.988724;0.875;0.875;3.35
2026-07-21T22:43:31;mvtec_AD/bottle;B;dino;;oracle_remove;0.3;1;10;10;3;3;3;;;;0.98125;0.988947;0.84375;0.90625;2.59
2026-07-21T22:43:34;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;base_knn;0.3;1;10;10;3;3;3;;;;0.98125;0.988947;0.84375;0.90625;2.46
2026-07-21T22:43:36;mvtec_AD/bottle;B;dino;dino_imgmax_mad1.5;base_lof;0.3;1;10;10;3;3;3;;;;0.98125;0.988947;0.84375;0.90625;2.49
